Year,FTAs in India (in million),%- change over previous year,NRIs arrivals in India (in million),%- change over the previous year,ITAs in India  (in million),%- change over the previous year.1,Foreign_Exchange_Earnings,World_ITA
2001.0,2.54,-4.2,,,,,3.2,1299.004508
2002.0,2.38,-6.0,,,,,3.1,1319.58184
2003.0,2.73,14.3,,,,,4.46,1300.066793
2004.0,3.46,26.8,,,,,6.17,1436.450364
2005.0,3.92,13.3,,,,,7.48,1501.611341
2006.0,4.45,13.5,,,,,8.63,1683.029832
2007.0,5.08,14.3,,,,,10.73,1739.3886
2008.0,5.28,4.0,,,,,11.83,1750.74669
2009.0,5.17,-2.2,,,,,11.39,1687.198488
2010.0,5.78,11.8,,,,,14.19,1755.720046
2011.0,6.31,9.2,,,,,16.56,1792.688016
2012.0,6.58,4.3,,,,,17.74,1881.196825
2013.0,6.97,5.9,,,,,18.39,1952.484358
2014.0,7.68,10.2,5.43,,13.11,,19.7,2012.330419
2015.0,8.03,4.5,5.74,5.7,13.76,5.0,21.1,2071.78591
2016.0,8.8,9.7,6.22,8.5,15.03,9.2,23.15,2140.443306
2017.0,10.04,14.0,6.77,8.8,16.81,11.8,27.69,2248.870724
2018.0,10.56,5.2,6.87,1.4,17.42,3.7,28.59,2339.399881
2019.0,10.93,3.5,6.98,1.7,17.91,2.8,30.06,2403.074088
2020.0,2.74,-74.9,3.59,-48.6,6.33,-64.7,6.96,406.89
2021.0,1.52,-44.5,5.48,52.6,7.0,,8.8,458.39
2022.0,6.19,305.4,6.2,13.1,12.39,,16.93,969.4
